Time_1,CSA_1,CVP_1,Time_4,CSA_4,CVP_4,Time_5,CSA_5,CVP_5,Time_8,CSA_8,CVP_8,Time_10,CSA_10,CVP_10,Time_15,CSA_15,CVP_15,Time_18,CSA_18,CVP_18,Time_19,CSA_19,CVP_19,Time_20,CSA_20,CVP_20,Time_23,CSA_23,CVP_23,Time_24,CSA_24,CVP_24,Time_25,CSA_25,CVP_25,Time_28,CSA_28,CVP_28,Time_30,CSA_30,CVP_30,Time_31,CSA_31,CVP_31,Time_34,CSA_34,CVP_34,Time_38,CSA_38,CVP_38,Time_39,CSA_39,CVP_39,Time_40,CSA_40,CVP_40,Time_42,CSA_42,CVP_42,Time_44,CSA_44,CVP_44,Time_46,CSA_46,CVP_46,Time_47,CSA_47,CVP_47,Time_48,CSA_48,CVP_48,Time_49,CSA_49,CVP_49,Time_50,CSA_50,CVP_50,Time_51,CSA_51,CVP_51,Time_52,CSA_52,CVP_52,Time_53,CSA_53,CVP_53,Time_54,CSA_54,CVP_54,Time_55,CSA_55,CVP_55,Time_56,CSA_56,CVP_56,Time_57,CSA_57,CVP_57,Time_58,CSA_58,CVP_58
0,1.792053656,4.235037488,0,0.192169515,7.596339471,0,1.755042882,11.59545181,0,0.26282877,4.88583553,0,1.457640983,11.24681254,0,0.369085629,1.810397741,0,1.467328136,9.912870821,0,0.480719152,5.330001738,0,1.494934702,7.027010418,0,1.908378858,4.433802326,0,1.293335676,2.944333054,0,0.617582444,7.701656244,0,1.500444146,9.191242205,0,0.53216852,9.236160046,0,1.186250809,10.33107359,0,0.498819335,7.697957571,0,0.963829704,4.696636892,0,0.518007088,12.15567275,0,1.788234235,7.878303825,0,0.576488432,8.118363691,0,0.462817887,2.574566416,0,1.348350856,9.732429538,0,0.958797205,7.820243485,0,0.26924687,2.809852483,0,1.237514485,5.762768523,0,1.462737004,8.287752408,0,0.958232256,11.40848597,0,0.725100383,4.921076266,0,0.90265291,10.63389913,0,1.403086347,7.586847264,0,1.494009847,7.930794929,0,0.497952764,5.904507174,0,1.345781422,4.657587408,0,1.059651967,7.975506412
0.008695652,1.793699375,4.3729333,0.007042254,0.191754254,7.452421029,0.0078125,1.766741316,11.62136448,0.008695652,0.261982148,4.786812466,0.01,1.494183102,11.26406182,0.00862069,0.36853298,1.905583152,0.007692308,1.470075185,9.949755827,0.005847953,0.484422661,5.301983917,0.009259259,1.49557913,7.048245495,0.007092199,1.916001678,4.507529399,0.01,1.297132058,2.913370686,0.009708738,0.622415966,7.637208542,0.008130081,1.495453187,9.025280489,0.003831418,0.532390384,9.286059439,0.003921569,1.187115589,10.33172006,0.007042254,0.502886379,7.691396174,0.009259259,0.970742431,4.701173771,0.011627907,0.518755271,11.98010336,0.0078125,1.799104491,7.901967615,0.003937008,0.581787537,7.958725199,0.006134969,0.465647234,2.592626192,0.007751938,1.348879379,9.691193789,0.0125,0.957912849,7.840015369,0.015873016,0.269575143,2.662624171,0.01010101,1.241455174,5.588037245,0.008333333,1.463818561,8.382464638,0.004504505,0.95826304,11.4195,0.003508772,0.72720448,4.895167178,0.003003003,0.904071171,10.45198435,0.00621118,1.399333611,7.610169597,0.003401361,1.495547428,7.940612914,0.004830918,0.500101449,5.914341609,0.002840909,1.34740351,4.678029712,0.004098361,1.058697737,7.971163218
0.017391304,1.795345094,4.510829113,0.014084507,0.191338994,7.308502586,0.015625,1.77843975,11.64375299,0.017391304,0.261091874,4.579747861,0.02,1.530725222,11.27779478,0.017241379,0.36798033,2.015902292,0.015384615,1.472806414,9.960631014,0.011695906,0.48812617,5.229682709,0.018518519,1.496081904,7.046357899,0.014184397,1.92327555,4.589662886,0.02,1.301515709,2.839302086,0.019417476,0.6272878,7.577145541,0.016260163,1.491317372,8.72197974,0.007662835,0.532612248,9.335958832,0.007843137,1.187980368,10.33236654,0.014084507,0.506783493,7.684834777,0.018518519,0.977825747,4.705710649,0.023255814,0.51971415,11.80453397,0.015625,1.809822968,7.926585812,0.007874016,0.587086642,7.799086706,0.012269939,0.468478951,2.610685968,0.015503876,1.349487446,9.649958039,0.025,0.957088582,7.853716506,0.031746032,0.270441424,2.496858267,0.02020202,1.245433143,5.413305966,0.016666667,1.464866132,8.477176868,0.009009009,0.958293824,11.42921034,0.007017544,0.729308576,4.869258089,0.006006006,0.905489432,10.27006956,0.01242236,1.395580874,7.633025991,0.006802721,1.497085009,7.950430898,0.009661836,0.502250134,5.921909853,0.005681818,1.349025598,4.698472016,0.008196721,1.057743508,7.966820024
0.026086957,1.796872727,4.634652789,0.021126761,0.190923734,7.164584144,0.0234375,1.78886406,11.6673031,0.026086957,0.260130466,4.249207212,0.03,1.562048971,11.29375884,0.025862069,0.367310113,2.162542383,0.023076923,1.475374181,9.946281784,0.01754386,0.492076544,5.087176131,0.027777778,1.496109125,7.016662986,0.021276596,1.92908384,4.69129925,0.03,1.306448276,2.691365731,0.029126214,0.632204127,7.526701083,0.024390244,1.488037104,8.397103188,0.011494253,0.532834112,9.385858225,0.011764706,1.188816754,10.33301301,0.021126761,0.510509572,7.670874197,0.027777778,0.984948045,4.705499712,0.034883721,0.520837042,11.51090657,0.0234375,1.82011277,7.960907143,0.011811024,0.592354371,7.639448214,0.018404908,0.471313773,2.628950539,0.023255814,1.350180878,9.551412278,0.0375,0.956267,7.840099282,0.047619048,0.27175609,2.295443147,0.03030303,1.249163613,5.266593962,0.025,1.464911141,8.571889098,0.013513514,0.958291999,11.43738353,0.010526316,0.731412673,4.810588359,0.009009009,0.906907692,10.08802153,0.01863354,1.390631363,7.655281838,0.010204082,1.49862259,7.960664826,0.014492754,0.504412046,5.904549997,0.008522727,1.350647686,4.74723428,0.012295082,1.057281421,7.95222461
0.034782609,1.796215785,4.752445549,0.028169014,0.190508474,7.024914511,0.03125,1.795956046,11.69921212,0.034782609,0.259092493,4.101286687,0.04,1.588154352,11.31935529,0.034482759,0.366635622,2.321144142,0.030769231,1.477939299,9.897339888,0.023391813,0.496085694,4.887007648,0.037037037,1.495863436,6.928350332,0.028368794,1.934196835,4.808097676,0.04,1.311926398,2.465414484,0.038834952,0.637097681,7.515336973,0.032520325,1.486050767,8.197650434,0.015325671,0.532600856,9.435757617,0.015686275,1.189582683,10.33055189,0.028169014,0.513897512,7.654841844,0.037037037,0.991756285,4.705102587,0.046511628,0.522066019,11.21137627,0.03125,1.829376665,8.00178395,0.015748032,0.597536675,7.479809721,0.024539877,0.474120008,2.647634943,0.031007752,1.350943736,9.436310292,0.05,0.955450568,7.814979151,0.063492064,0.273414305,2.132871892,0.04040404,1.252277262,5.132023643,0.033333333,1.464869524,8.654327509,0.018018018,0.958285101,11.44379019,0.014035088,0.733237493,4.716124594,0.012012012,0.908565038,9.901132368,0.024844721,1.38559988,7.67991581,0.013605442,1.500021896,7.971144054,0.019323672,0.506615848,5.884347795,0.011363636,1.352385303,4.805762047,0.016393443,1.0578715,7.937629195
0.043478261,1.795558843,4.836258885,0.035211268,0.190035022,6.888914304,0.0390625,1.803048033,11.73991453,0.043478261,0.258021026,3.976593524,0.05,1.614259732,11.36721665,0.043103448,0.365909062,2.48811907,0.038461539,1.480492053,9.807143628,0.029239766,0.500289825,4.670788096,0.046296296,1.4952961,6.727282526,0.035460993,1.938197356,4.934903063,0.05,1.31806224,2.276993748,0.048543689,0.641912728,7.532225609,0.040650407,1.484863174,8.104993856,0.019157088,0.532312985,9.476709634,0.019607843,1.190348612,10.31518231,0.035211268,0.517097655,7.620906037,0.046296296,0.997456538,4.704421364,0.058139535,0.523387347,10.96397354,0.0390625,1.837429226,8.072706693,0.019685039,0.602718978,7.303508498,0.030674847,0.476890951,2.666319346,0.03875969,1.351685559,9.352817418,0.0625,0.954671951,7.769728931,0.079365079,0.275101488,1.989762042,0.050505051,1.254514685,4.958584653,0.041666667,1.463593499,8.727560556,0.022522523,0.958246612,11.44719405,0.01754386,0.73490998,4.621660829,0.015015015,0.910229087,9.714243207,0.031055901,1.379695441,7.705372577,0.017006803,1.501411984,7.981722362,0.024154589,0.508819649,5.849933857,0.014204546,1.354290436,4.886950236,0.020491803,1.05846158,7.898590429
0.052173913,1.794792097,4.869103083,0.042253521,0.189536269,6.752914097,0.046875,1.807570774,11.78350497,0.052173913,0.256892285,3.867174962,0.06,1.629816146,11.43441575,0.051724138,0.365178573,2.677638988,0.046153846,1.483028896,9.686334406,0.035087719,0.504615817,4.458890729,0.055555556,1.49442636,6.456173765,0.042553192,1.941456617,5.075184098,0.06,1.324421974,2.177835209,0.058252427,0.646606874,7.56407825,0.048780488,1.484300285,8.125704927,0.022988506,0.532025115,9.512843832,0.023529412,1.191072866,10.29981272,0.042253521,0.520109358,7.573045321,0.055555556,1.002303876,4.703716949,0.069767442,0.524802398,10.72205792,0.046875,1.844759498,8.146198844,0.023622047,0.607543772,7.12213601,0.036809816,0.479589258,2.687008486,0.046511628,1.352398225,9.295006947,0.075,0.953949339,7.724461723,0.095238095,0.276849099,1.903390504,0.060606061,1.255874211,4.725699462,0.05,1.462189431,8.800793603,0.027027027,0.958196484,11.44963404,0.021052632,0.736582467,4.516387662,0.018018018,0.911893135,9.53235215,0.037267081,1.373662626,7.731892765,0.020408163,1.502802072,7.992585525,0.028985507,0.510926161,5.815639008,0.017045455,1.356195569,4.9919915,0.024590164,1.059901491,7.859551663
0.060869565,1.793064571,4.897694193,0.049295775,0.189037516,6.624097803,0.0546875,1.810018354,11.82187798,0.060869565,0.255749755,3.556644811,0.07,1.645372561,11.50681056,0.060344828,0.364405294,2.869905817,0.053846154,1.485521541,9.561368124,0.040935673,0.509081346,4.274262042,0.064814815,1.493419817,6.120560617,0.04964539,1.944172288,5.235065035,0.07,1.330854517,2.103496212,0.067961165,0.6510698,7.604590249,0.056910569,1.48450555,8.344584752,0.026819923,0.531386107,9.54897803,0.02745098,1.19176625,10.28444314,0.049295775,0.522654949,7.505535132,0.064814815,1.006270284,4.687427887,0.081395349,0.526309504,10.5140413,0.0546875,1.851403271,8.226685493,0.027559055,0.612060966,6.940763521,0.042944785,0.482241698,2.708750112,0.054263566,1.352745475,9.229092122,0.0875,0.953278889,7.679180358,0.111111111,0.278839161,1.825536138,0.070707071,1.256363278,4.471432082,0.058333333,1.459611631,8.864917116,0.031531532,0.958124137,11.45180447,0.024561404,0.738140584,4.410614061,0.021021021,0.913701696,9.43876094,0.043478261,1.366781994,7.768923049,0.023809524,1.504055116,8.003448688,0.033816425,0.512927277,5.781701423,0.019886364,1.358100702,5.094009247,0.028688525,1.061824926,7.809426402
0.069565217,1.791337045,4.888007507,0.056338028,0.188538763,6.586277746,0.0625,1.812465935,11.83260095,0.069565217,0.254594553,3.171706623,0.08,1.656435795,11.57771637,0.068965517,0.36362698,3.060963565,0.061538462,1.487950449,9.465727378,0.046783626,0.513737153,4.112200538,0.074074074,1.492024629,5.823169676,0.056737589,1.945775732,5.465459204,0.08,1.33711837,2.033995897,0.077669903,0.655400512,7.650834484,0.06504065,1.485239748,8.954711163,0.030651341,0.530651335,9.585112228,0.031372549,1.192459633,10.26406506,0.056338028,0.524686465,7.400512315,0.074074074,1.009104967,4.669149294,0.093023256,0.527813938,10.31167451,0.0625,1.857064049,8.297417082,0.031496063,0.61657816,6.759391032,0.049079755,0.484884647,2.730491738,0.062015504,1.352906294,9.146542045,0.1,0.952667321,7.598456995,0.126984127,0.281056334,1.762282636,0.080808081,1.256093599,4.008688361,0.066666667,1.4568846,8.874383428,0.036036036,0.958036738,11.45450592,0.028070175,0.739424212,4.323501714,0.024024024,0.915518594,9.34516973,0.049689441,1.3596995,7.807684071,0.027210884,1.505288582,8.014204854,0.038647343,0.514928392,5.742124014,0.022727273,1.360236792,5.185948604,0.032786885,1.063748361,7.759301142
0.07826087,1.789901564,4.878320822,0.063380282,0.188001167,6.548457689,0.0703125,1.811702965,11.71824436,0.07826087,0.253440352,2.699832847,0.09,1.663005848,11.63686448,0.077586207,0.362823319,3.21762585,0.069230769,1.490262505,9.398801538,0.052631579,0.518431697,3.961792385,0.083333333,1.490549921,5.472379271,0.063829787,1.947045508,5.724170474,0.09,1.343135805,1.970967281,0.087378641,0.65953047,7.692579986,0.073170732,1.486236158,9.587880621,0.034482759,0.529916563,9.617820791,0.035294118,1.193105044,10.23578896,0.063380282,0.526287442,7.295800219,0.083333333,1.011222473,4.543597984,0.104651163,0.529183541,10.1187522,0.0703125,1.862121275,8.350670852,0.035433071,0.620519362,6.640504096,0.055214724,0.4875655,2.777987608,0.069767442,1.352840429,9.04059846,0.1125,0.952152061,7.504442883,0.142857143,0.283523601,1.714316902,0.090909091,1.255224993,3.54594464,0.075,1.453168909,8.883849741,0.040540541,0.95792668,11.46177999,0.031578947,0.740707841,4.260763253,0.027027027,0.917335491,9.252387662,0.055900621,1.352661136,7.838407063,0.030612245,1.506522048,8.024947403,0.043478261,0.516522822,5.691266959,0.025568182,1.362424846,5.277887962,0.036885246,1.066402308,7.696843724
